html,href,title,author,journal,type,date
"<div class=""article-listing"">
<p><a href=""/Library/Article/jerry-lee-lewis-a-comeback-story"">Jerry Lee Lewis: A comeback story</a></p>
<p>Profile and Interview by Jim Sullivan, <i>The Boston Globe</i>, 27 July 1982</p>
<p class=""excerpt"">""Jerry Lee Lewis is a sinner, lost an' undone, without God or His Son"" — Jerry Lee Lewis as quoted by Nick Tosches in his ...</p>
</div>",/Library/Article/jerry-lee-lewis-a-comeback-story,A comeback story,Jim Sullivan,The Boston Globe,Profile and Interview,27 July 1982
"<div class=""article-listing"">
<p><a href=""/Library/Article/brenda-lee-dynamite"">Brenda Lee: Dynamite</a></p>
<p>Retrospective and Interview by Martin Hawkins, <i>The History of Rock</i>, September 1982</p>
<p class=""excerpt"">BORN BRENDA MAE TARPLEY in Atlanta, Georgia, on 11 December 1944, Brenda Lee is rumoured to have taken to the road with a singing group ...</p>
</div>",/Library/Article/brenda-lee-dynamite,Dynamite,Martin Hawkins,The History of Rock,Retrospective and Interview,September 1982
"<div class=""article-listing"">
<p><a href=""/Library/Article/rosanne-cash-isomewhere-in-the-starsi-columbia"">Rosanne Cash: <i>Somewhere In The Stars</i> (Columbia)</a></p>
<p>Review by Mitchell Cohen, <i>Creem</i>, October 1982</p>
<p class=""excerpt"">MOST OF the songs on Somewhere In The Stars, the third album by Rosanne Cash, are about the pitfalls of contemporary liaisons, the moments when ...</p>
</div>",/Library/Article/rosanne-cash-isomewhere-in-the-starsi-columbia,Somewhere In The Stars (Columbia),Mitchell Cohen,Creem,Review,October 1982
"<div class=""article-listing"">
<p><a href=""/Library/Article/rosanne-cash-wax-museum-baltimore-ma"">Rosanne Cash: Wax Museum, Baltimore MA</a></p>
<p>Live Review by Geoffrey Himes, <i>Baltimore Sun</i>, 22 October 1982</p>
<p class=""excerpt"">Rosanne Cash: genuine country ...</p>
</div>",/Library/Article/rosanne-cash-wax-museum-baltimore-ma,"Wax Museum, Baltimore MA",Geoffrey Himes,Baltimore Sun,Live Review,22 October 1982
"<div class=""article-listing"">
<p><a href=""/Library/Article/charley-pride-painters-mill-star-theatre-owings-mills-md"">Charley Pride: Painters Mill Star Theatre, Owings Mills MD</a></p>
<p>Live Review by Geoffrey Himes, <i>Baltimore Sun</i>, 8 November 1982</p>
<p class=""excerpt"">Charley Pride has the voice but not verve. ...</p>
</div>",/Library/Article/charley-pride-painters-mill-star-theatre-owings-mills-md,"Painters Mill Star Theatre, Owings Mills MD",Geoffrey Himes,Baltimore Sun,Live Review,8 November 1982
"<div class=""article-listing"">
<p><a href=""/Library/Article/marty-robbins-country-dude-of-nashville"">Marty Robbins: Country Dude of Nashville</a></p>
<p>Obituary by Mary Harron, <i>The Guardian</i>, 10 December 1982</p>
<p class=""excerpt"">Mary Harron on the style of Marty Robbins ...</p>
</div>",/Library/Article/marty-robbins-country-dude-of-nashville,Country Dude of Nashville,Mary Harron,The Guardian,Obituary,10 December 1982
"<div class=""article-listing"">
<p><a href=""/Library/Article/rank-and-filedel-fuegos-inn-square-bar-boston"">Rank and File, Del Fuegos, The: Rank And File/Del Fuegos: Inn-Square Bar, Boston</a></p>
<p>Live Review by Jim Sullivan, <i>The Boston Globe</i>, 15 December 1982</p>
<p class=""excerpt"">COUNTRY ROCK HAS been one of the most popular musical hybrids of the past decade; it's also been one of the most disappointing. ...</p>
</div>",/Library/Article/rank-and-filedel-fuegos-inn-square-bar-boston,"Rank And File/Del Fuegos: Inn-Square Bar, Boston",Jim Sullivan,The Boston Globe,Live Review,15 December 1982
"<div class=""article-listing"">
<p><a href=""/Library/Article/rank-and-file-the-music-machine-los-angeles-ca"">Rank And File: The Music Machine, Los Angeles CA</a></p>
<p>Live Review by Mark Leviton, <i>Music Connection</i>, 17 February 1983</p>
<p class=""excerpt"">A PACKED HOUSE witnessed a powerful Rank and File set that was a model of consistency and drive. The four-piece has narrowed their focus admirably, ...</p>
</div>",/Library/Article/rank-and-file-the-music-machine-los-angeles-ca,"The Music Machine, Los Angeles CA",Mark Leviton,Music Connection,Live Review,17 February 1983
"<div class=""article-listing"">
<p><a href=""/Library/Article/willie-nelson-capital-centre-landover-ma"">Willie Nelson: Capital Centre, Landover MA</a></p>
<p>Live Review by Geoffrey Himes, <i>Baltimore Sun</i>, 16 March 1983</p>
<p class=""excerpt"">Nelson's style: spare but brilliant ...</p>
</div>",/Library/Article/willie-nelson-capital-centre-landover-ma,"Capital Centre, Landover MA",Geoffrey Himes,Baltimore Sun,Live Review,16 March 1983
"<div class=""article-listing"">
<p><a href=""/Library/Article/dolly-parton-ask-a-dirty-question-and-you-dont-get-any-answers"">Dolly Parton: Ask a Dirty Question, and you Don't Get Any Answers</a></p>
<p>Profile and Interview by Mary Harron, <i>The Guardian</i>, 29 March 1983</p>
<p class=""excerpt"">Dolly Parton smiles, and giggles, and parodies herself, but she's really not that kind of girl at all. Not any longer, reports Mary Harron. ...</p>
</div>",/Library/Article/dolly-parton-ask-a-dirty-question-and-you-dont-get-any-answers,"Ask a Dirty Question, and you Don't Get Any Answers",Mary Harron,The Guardian,Profile and Interview,29 March 1983
"<div class=""article-listing"">
<p><a href=""/Library/Article/dolly-parton-dominion-theatre-london"">Dolly Parton: Dominion Theatre, London</a></p>
<p>Live Review by Mary Harron, <i>The Guardian</i>, 29 March 1983</p>
<p class=""excerpt"">IN THE early stages we were treated rather like the captive audience at a television games show, as orders were issued for us to stand, ...</p>
</div>",/Library/Article/dolly-parton-dominion-theatre-london,"Dominion Theatre, London",Mary Harron,The Guardian,Live Review,29 March 1983
"<div class=""article-listing"">
<p><a href=""/Library/Article/tammy-wynette-wembley-conference-centre-london"">Matchbox, Tammy Wynette: Tammy Wynette: Wembley Conference Centre, London</a></p>
<p>Live Review by Don Watson, <i>New Musical Express</i>, 16 April 1983</p>
<p class=""excerpt"">DANG MA POONS!*
* Lit: Make mine a whiskey sour and a marriage on the rocks. ...</p>
</div>",/Library/Article/tammy-wynette-wembley-conference-centre-london,"Tammy Wynette: Wembley Conference Centre, London",Don Watson,New Musical Express,Live Review,16 April 1983
"<div class=""article-listing"">
<p><a href=""/Library/Article/waylon-jennings-hammersmith-odeon-london"">Waylon Jennings: Hammersmith Odeon, London</a></p>
<p>Live Review by Barney Hoskyns, <i>New Musical Express</i>, 29 October 1983</p>
<p class=""excerpt"">'Nylon' Jennings Sings Silky Jus' For You ...</p>
</div>",/Library/Article/waylon-jennings-hammersmith-odeon-london,"Hammersmith Odeon, London",Barney Hoskyns,New Musical Express,Live Review,29 October 1983
"<div class=""article-listing"">
<p><a href=""/Library/Article/unsung-heroes-of-rock-n-roll-wanda-jackson--unlaced-by-the-lord"">Wanda Jackson: Unsung Heroes of Rock 'n' Roll: Wanda Jackson — Unlaced By The Lord</a></p>
<p>Retrospective by Nick Tosches, <i>Creem</i>, February 1984</p>
<p class=""excerpt"">WANDA LAVONNE Jackson was, simply and without contest, the greatest menstruating rock 'n' roll singer whom the world has ever known. Born in Maud, Oklahoma, ...</p>
</div>",/Library/Article/unsung-heroes-of-rock-n-roll-wanda-jackson--unlaced-by-the-lord,Unsung Heroes of Rock 'n' Roll: Wanda Jackson — Unlaced By The Lord,Nick Tosches,Creem,Retrospective,February 1984
"<div class=""article-listing"">
<p><a href=""/Library/Article/pogues-boothill-foot-tappers-mean-fiddler-harlesden"">Pogues, The, Boothill Foot Tappers, The: Pogues, Boothill Foot Tappers: Mean Fiddler, Harlesden</a></p>
<p>Live Review by Colin Irwin, <i>Melody Maker</i>, 4 August 1984</p>
<p class=""excerpt"">IT WAS not a night to be sober. ...</p>
</div>",/Library/Article/pogues-boothill-foot-tappers-mean-fiddler-harlesden,"Pogues, Boothill Foot Tappers: Mean Fiddler, Harlesden",Colin Irwin,Melody Maker,Live Review,4 August 1984
"<div class=""article-listing"">
<p><a href=""/Library/Article/neil-young"">Neil Young</a></p>
<p>Interview by Jim Sullivan, <i>Boston Globe</i>, 6 September 1984</p>
<p class=""excerpt"">IN 1970, Neil Young went to Nashville during a break in his solo tour and recorded the song 'Are You Ready For The Country?'. He ...</p>
</div>",/Library/Article/neil-young,Neil Young,Jim Sullivan,Boston Globe,Interview,6 September 1984
"<div class=""article-listing"">
<p><a href=""/Library/Article/dwight-yoakam-local-yoakam"">Dwight Yoakam: Local Yoakam</a></p>
<p>Interview by Bill Bentley, <i>LA Weekly</i>, 22 November 1984</p>
<p class=""excerpt"">EVEN WITH the so called cow-punk semi-stampede started in '82 by Rank &amp; File, country music hasn't made any significant inroads into the life of ...</p>
</div>",/Library/Article/dwight-yoakam-local-yoakam,Local Yoakam,Bill Bentley,LA Weekly,Interview,22 November 1984
"<div class=""article-listing"">
<p><a href=""/Library/Article/the-voice-squad"">Bobby Bland, James Brown, Burning Spear, Drifters, The, Al Green, Billie Holiday, Robert Johnson, George Jones, Janis Joplin, Joy Division, Little Anthony and the Imperials, Michael McDonald, Van Morrison, Aaron Neville, Otis Redding, Smokey Robinson, Nina Simone, Frank Sinatra, Bettye Swann, Ted Taylor, O.V. Wright, Linda Jones, Horace Andy, Tyrone Davis: The Voice Squad</a></p>
<p>Overview by Barney Hoskyns, <i>New Musical Express</i>, 12 January 1985</p>
<p class=""excerpt"">From the raw to the pure, from the sublime to the meticulous — BARNEY HOSKYNS sings the praises of 24 of music's most glorious voices. ...</p>
</div>",/Library/Article/the-voice-squad,The Voice Squad,Barney Hoskyns,New Musical Express,Overview,12 January 1985
"<div class=""article-listing"">
<p><a href=""/Library/Article/of-mums--grammys-the-judds"">Judds, The: Of Mums &amp; Grammys: The Judds</a></p>
<p>Interview by Cynthia Rose, <i>New Musical Express</i>, 20 April 1985</p>
<p class=""excerpt"">Part deep country and part cosmopolitan, this mom and daughter team have lived a Cinderella story which stood even Nashville on its ear. Now, No ...</p>
</div>",/Library/Article/of-mums--grammys-the-judds,Of Mums & Grammys: The Judds,Cynthia Rose,New Musical Express,Interview,20 April 1985
"<div class=""article-listing"">
<p><a href=""/Library/Article/ricky-skaggs-dominion-theatre-london"">Ricky Skaggs: Dominion Theatre, London</a></p>
<p>Live Review by Mick Brown, <i>The Guardian</i>, 20 May 1985</p>
<p class=""excerpt"">Mick Brown on Ricky Skaggs's county revival at the Dominion ...</p>
</div>",/Library/Article/ricky-skaggs-dominion-theatre-london,"Dominion Theatre, London",Mick Brown,The Guardian,Live Review,20 May 1985
"<div class=""article-listing"">
<p><a href=""/Library/Article/the-judds-that-john-deere-factor"">Judds, The: The Judds: That John Deere Factor</a></p>
<p>Profile and Interview by Cynthia Rose, <i>Creem</i>, July 1985</p>
<p class=""excerpt"">DALLAS — AT age 18, Naomi Judd of Ashland, Kentucky, defaulted on her high school graduation: she was in a hospital giving birth to daughter ...</p>
</div>",/Library/Article/the-judds-that-john-deere-factor,The Judds: That John Deere Factor,Cynthia Rose,Creem,Profile and Interview,July 1985
"<div class=""article-listing"">
<p><a href=""/Library/Article/jerry-lee-lewis-no-sinner-like-an-old-un"">Jerry Lee Lewis: No Sinner Like An Old 'Un</a></p>
<p>Interview by Jim Sullivan, <i>New Musical Express</i>, 14 September 1985</p>
<p class=""excerpt"">Not for JERRY LEE LEWIS the cosy trail from rocker to rocking chair. Last year a rollercoaster life and career hit a new low when ...</p>
</div>",/Library/Article/jerry-lee-lewis-no-sinner-like-an-old-un,No Sinner Like An Old 'Un,Jim Sullivan,New Musical Express,Interview,14 September 1985
"<div class=""article-listing"">
<p><a href=""/Library/Article/audio-townes-van-zandt-1986-"">AUDIO: Townes Van Zandt (1986) </a></p>
<p>Audio transcript of interview by Holger Petersen, <i>Rock's Backpages Audio</i>, 4 January 1986</p>
<p class=""excerpt"">This is a transcript of Holger's audio interview with Townes. Hear the interview here.
  ...</p>
</div>",/Library/Article/audio-townes-van-zandt-1986-,Townes Van Zandt (1986) ,Holger Petersen,Rock's Backpages Audio,Audio transcript of interview,4 January 1986
"<div class=""article-listing"">
<p><a href=""/Library/Article/rosanne-cash-no-cash-down"">Rosanne Cash: No Cash Down</a></p>
<p>Profile and Interview by Laura Fissinger, <i>Creem</i>, February 1986</p>
<p class=""excerpt"">ROSANNE CASH, a very young and dishy 30-year-old, has just celebrated the start of her second year without drugs. ""Being on drugs is like being ...</p>
</div>",/Library/Article/rosanne-cash-no-cash-down,No Cash Down,Laura Fissinger,Creem,Profile and Interview,February 1986
"<div class=""article-listing"">
<p><a href=""/Library/Article/the-judds-irockin-with-the-rhythmi-rca-rosanne-cash-irhythm-and-romancei-cbs-george-strait-isomething-speciali-mca"">Rosanne Cash, Judds, The, George Strait: The Judds: <i>Rockin' with the Rhythm</i> (RCA); Rosanne Cash: <i>Rhythm and Romance</i> (CBS); George Strait: <i>Something Special</i> (MCA)</a></p>
<p>Review by Max Bell, <i>The Times</i>, 1 March 1986</p>
<p class=""excerpt"">Leaving the old wagon wheels behind ...</p>
</div>",/Library/Article/the-judds-irockin-with-the-rhythmi-rca-rosanne-cash-irhythm-and-romancei-cbs-george-strait-isomething-speciali-mca,The Judds: Rockin' with the Rhythm (RCA); Rosanne Cash: Rhythm and Romance (CBS); George Strait: Something Special (MCA),Max Bell,The Times,Review,1 March 1986
"<div class=""article-listing"">
<p><a href=""/Library/Article/records-by-prince-the-judds-iet-ali"">William Bell, Judds, The, Dolly Parton, Prince, Smokey Robinson, David Thomas, Matt Bianco: Records by Prince, The Judds <i>et al</i></a></p>
<p>Review by Mary Harron, <i>The Observer</i>, 16 March 1986</p>
<p class=""excerpt"">Smokey Robinson: Smoke Signals (Tamla 6156TL); Prince: 'Kiss' (WEA W8751T 12 Inch); William Bell: Passion (WRC WIL-3001 US Import) ...</p>
</div>",/Library/Article/records-by-prince-the-judds-iet-ali,"Records by Prince, The Judds et al",Mary Harron,The Observer,Review,16 March 1986
"<div class=""article-listing"">
<p><a href=""/Library/Article/dwight-yoakam-the-roxy-los-angeles-ca"">Dwight Yoakam: the Roxy, Los Angeles CA</a></p>
<p>Live Review by Richard Cromelin, <i>Los Angeles Times</i>, 20 March 1986</p>
<p class=""excerpt"">YOAKAM'S CONSERVATIVE COUNTRY ...</p>
</div>",/Library/Article/dwight-yoakam-the-roxy-los-angeles-ca,"the Roxy, Los Angeles CA",Richard Cromelin,Los Angeles Times,Live Review,20 March 1986
"<div class=""article-listing"">
<p><a href=""/Library/Article/george-jones-wembley-arena-country-festival-london"">George Jones: Wembley Arena Country Festival, London</a></p>
<p>Live Review by Sean O'Hagan, <i>New Musical Express</i>, 12 April 1986</p>
<p class=""excerpt"">THE GREATEST ""NO SHOW"" ON EARTH ...</p>
</div>",/Library/Article/george-jones-wembley-arena-country-festival-london,"Wembley Arena Country Festival, London",Sean O'Hagan,New Musical Express,Live Review,12 April 1986
"<div class=""article-listing"">
<p><a href=""/Library/Article/the-johnny-cash-show-country-festival-wembley-arena-london"">Johnny Cash: The Johnny Cash Show: Country Festival, Wembley Arena, London</a></p>
<p>Live Review by Fred Dellar, <i>New Musical Express</i>, 12 April 1986</p>
<p class=""excerpt"">THE PILL POPPIN' POPE OF POP ...</p>
</div>",/Library/Article/the-johnny-cash-show-country-festival-wembley-arena-london,"The Johnny Cash Show: Country Festival, Wembley Arena, London",Fred Dellar,New Musical Express,Live Review,12 April 1986
"<div class=""article-listing"">
<p><a href=""/Library/Article/dwight-yoakam-iguitars-cadillacs-etc-etci-reprise"">Dwight Yoakam: <i>Guitars, Cadillacs, Etc., Etc.</i> (Reprise)</a></p>
<p>Review by Jon Young, <i>Musician</i>, May 1986</p>
<p class=""excerpt"">TIPPING HIS Stetson to Lefty Frizzell and Merle Haggard, Yoakam recharges the honky-tonk tradition like a savior sent down from hillbilly heaven. Guitars, Cadillacs, Etc., ...</p>
</div>",/Library/Article/dwight-yoakam-iguitars-cadillacs-etc-etci-reprise,"Guitars, Cadillacs, Etc., Etc. (Reprise)",Jon Young,Musician,Review,May 1986
"<div class=""article-listing"">
<p><a href=""/Library/Article/lost-highway"">Eugene Chadbourne, Bill Frisell, Mekons, The, Dwight Yoakam, George Strait, Hasil Adkins: Lost Highway</a></p>
<p>Essay by RJ Smith, <i>High Fidelity</i>, July 1986</p>
<p class=""excerpt"">Country used to be a music of the dispossessed. If you look hard enough, you'll find it still is. ...</p>
</div>",/Library/Article/lost-highway,Lost Highway,RJ Smith,High Fidelity,Essay,July 1986
